delivery_distance,order_quantity_lbs,average_unit_cost_lbs,packaging,total_delivery_cost,markup_percentage,order_date,customer_id,product_id,warehouse_id,ship_via
0.0,45600.0,0.08,BULK,0.0,0.48,2022-03-02 00:00:00+00:00,C1,P1,W1,S1
269.05,41060.0,0.07,BULK,864.46,0.43,2019-09-05 00:00:00+00:00,C2,P1,W2,S2
53.95,720.0,1.15,-MDRM,2.91,0.11,2022-04-27 00:00:00+00:00,C3,P2,W3,S3
53.95,1440.0,0.9,-MDRM,5.83,0.11,2020-11-24 00:00:00+00:00,C3,P2,W3,S3
195.49,44770.0,0.05,BULK,659.78,1.64,2018-02-22 00:00:00+00:00,C4,P1,W4,S2
6.19,1080.0,0.79,-MDRM,0.5,0.11,2018-08-08 00:00:00+00:00,C5,P2,W5,S3
114.16,44100.0,0.05,BULK,393.85,0.28,2017-06-13 00:00:00+00:00,C6,P1,W2,S2
75.89,360.0,0.88,-MDRM,2.05,0.7,2017-08-09 00:00:00+00:00,C7,P2,W6,S3
319.65,720.0,1.08,-MDRM,17.26,0.22,2020-03-18 00:00:00+00:00,C8,P2,W7,S4
67.45,44580.0,0.09,BULK,225.52,0.78,2021-08-20 00:00:00+00:00,C6,P1,W8,S2
86.8,46130.0,0.14,BULK,305.97,0.6,2022-08-15 00:00:00+00:00,C9,P1,W9,S2
6.02,1440.0,1.05,-MDRM,0.65,0.11,2017-05-16 00:00:00+00:00,C10,P2,W10,S3
32.78,2520.0,0.62,-MDRM,6.2,0.11,2020-01-22 00:00:00+00:00,C11,P2,W11,S3
15.51,48060.0,0.08,BULK,58.16,0.77,2019-07-09 00:00:00+00:00,C12,P3,W12,S2
13.19,43040.0,0.06,BULK,45.51,0.67,2019-11-15 00:00:00+00:00,C13,P1,W2,S2
47.28,25440.0,0.08,BULK,113.47,1.37,2022-01-04 00:00:00+00:00,C14,P1,W11,S2
89.46,360.0,1.3,-MDRM,2.42,0.11,2018-03-19 00:00:00+00:00,C15,P2,W7,S3
20.91,43180.0,0.07,BULK,75.28,0.79,2019-07-02 00:00:00+00:00,C16,P1,W4,S2
50.51,1080.0,1.1,-MDRM,4.09,0.11,2021-02-12 00:00:00+00:00,C17,P2,W10,S3
32.39,720.0,0.66,-MDRM,1.75,0.21,2017-02-01 00:00:00+00:00,C18,P2,W13,S3
47.43,45120.0,0.05,BULK,163.63,0.61,2018-01-03 00:00:00+00:00,C19,P1,W2,S2
47.43,45440.0,0.06,BULK,163.63,0.74,2020-08-04 00:00:00+00:00,C19,P1,W2,S2
112.44,44480.0,0.05,BULK,379.48,0.8,2020-08-14 00:00:00+00:00,C20,P1,W3,S2
8.91,46800.0,0.12,BULK,30.07,1.56,2022-02-16 00:00:00+00:00,C21,P1,W14,S2
16.28,360.0,1.37,-MDRM,0.44,0.11,2018-03-08 00:00:00+00:00,C22,P2,W12,S3
269.05,44020.0,0.08,BULK,926.2,0.23,2021-06-25 00:00:00+00:00,C2,P1,W2,S2
263.14,45080.0,0.06,BULK,888.1,0.53,2018-06-25 00:00:00+00:00,C23,P1,W3,S5
148.47,43540.0,0.14,BULK,512.22,0.29,2022-06-01 00:00:00+00:00,C24,P1,W2,S2
47.43,44700.0,0.05,BULK,163.63,0.49,2016-10-10 00:00:00+00:00,C19,P1,W2,S2
96.48,360.0,1.28,-MDRM,2.6,0.1,2017-11-06 00:00:00+00:00,C25,P2,W7,S3
151.33,43760.0,0.07,BULK,520.95,0.19,2019-09-05 00:00:00+00:00,C26,P1,W4,S2
32.78,2880.0,0.68,-MDRM,7.08,0.11,2019-02-25 00:00:00+00:00,C11,P2,W11,S3
20.21,1440.0,1.32,-MDRM,2.18,0.11,2018-05-09 00:00:00+00:00,C27,P2,W15,S3
66.83,43440.0,0.06,BULK,225.55,1.29,2020-07-21 00:00:00+00:00,C28,P1,W2,S2
24.31,14350.0,0.08,BULK,27.35,2.03,2021-08-25 00:00:00+00:00,C29,P1,W4,S2
13.19,43220.0,0.07,BULK,45.51,0.43,2018-09-27 00:00:00+00:00,C13,P1,W2,S2
66.83,44400.0,0.1,BULK,225.55,0.91,2022-03-11 00:00:00+00:00,C28,P1,W2,S2
176.28,32140.0,0.08,BULK,423.07,0.54,2021-10-15 00:00:00+00:00,C14,P1,W3,S2
4.2,360.0,1.39,-MDRM,0.11,0.11,2017-11-01 00:00:00+00:00,C30,P2,W7,S6
125.85,48080.0,0.04,BULK,471.94,2.01,2020-09-18 00:00:00+00:00,C31,P3,W12,S2
32.78,2160.0,0.62,-MDRM,5.31,0.11,2020-02-12 00:00:00+00:00,C11,P2,W11,S3
12.27,47060.0,0.06,BULK,42.33,0.55,2016-10-05 00:00:00+00:00,C32,P1,W16,S2
66.83,43620.0,0.07,BULK,230.56,0.5,2018-09-28 00:00:00+00:00,C28,P1,W2,S2
13.19,44020.0,0.08,BULK,45.51,0.25,2021-06-02 00:00:00+00:00,C13,P1,W2,S2
